DAY,TIME,PMH,BKP,SRR,DHR,VJP,PSB,FGM,RVP,BSP,GD (CSE),VMP,HCS,MJS,KBP,KAG,KAJ,VDP,"GD (IT)
4-IT",Central Lab ,,,CSE1,CSE2,CSE3,IT1,IT2,IT3,C-247
,,,,,,,,,,,,,,,,,,,,1-A,1-B,2-A,,,,,,,
MONDAY,"8:20
To 
9:10","WT
6-CSE
C-141","OOPC
4-CSE
C-142","PROJECT-II
8-CSE",,"PROJECT-II
8-CSE",,,"PROJECT-II
8-CSE","AI (H3)
8-IT
CENTRAL-1B",,,"PP (H2)
8-IT
CSE LAB-3","WDM (H2)
8-IT
CSE LAB-2","AJ
6-IT
C-147",,"CO
4-IT
C-143","AI (H1)
8-IT
CENTRAL-1A","NSM
4-IT
C-143","AI (H1)
8-IT
VDP","AI (H3)
8-IT
BSP","CAD(B2)
DIP-CIVIL
SJ",,"WDM (H2)
8-IT
MJS","PP (H2)
8-IT
HCS",,,,
MONDAY,"9:10
To
10:00",,,,".NET
6-CSE
C-140","PROJECT-II
8-CSE","CG
6-CSE
C-141","PROJECT-II
8-CSE","CN
4-CSE
C-142",,,,,,"PPS
2-IT
A-105","DCDR
6-IT
C-147",,,,,,,,,,,,,
MONDAY,"10:10
To
11:00","PROJECT-II
8-CSE","OOPC (G1)
4-CSE
CENTRAL-1A","AJ
6-CSE
C-141","OOPC (G2)
4-CSE
CENTRAL-1B","PROJECT-II
8-CSE",,"OS (G3)
4-CSE
CSE LAB-1","PROJECT-II
8-CSE",,,".NET(H1)
6-IT
CSE LAB-2","SE(H3)
6-IT
CSE LAB-3","OS
4-IT
C-143",,,"WT(H2)
6-IT
IT LAB-2",,"T & P ACTIVITIES
8-IT
C-149","OOPC (G1)
4-CSE
BKP","OOPC (G2)
4-CSE
DHR",,"OS (G3)
4-CSE
FGM",".NET(H1)
6-IT
VMP","SE(H3)
6-IT
HCS","CED(E3)
6-EE
R.ANJANA","WT(H2)
6-IT
KAJ",,
MONDAY,"11:00
To
11:50",,,,,"SE
6-CSE
C-141","PROJECT-II
8-CSE",,"PROJECT-II
8-CSE",,,,,,,,,"OOPC
4-IT
C-143",,,,,,,,,,,
MONDAY,"12:00
To
12:45","WT (G1)
6-CSE
IT LAB-2","PROJECT-II
8-CSE","AJ (G3)
6-CSE
IT LAB-3",".NET (G2)
6-CSE
CSE LAB-2","PROJECT-II
8-CSE","CG (G2)
6-CSE
CSE LAB-3","OS
4-CSE
C-142",,,,".NET
6-IT
C-147","PP 
8-IT
C-149","WDM
8-IT
C-140","NSM(H1)
4-IT
CSE LAB-1","CN(H2)
4-IT
IT LAB-1",,,,"PROJECT-II
8-EC
PP",,,"NSM(H1)
4-IT
KBP",".NET (G2)
6-CSE
DHR","CG (G2)
6-CSE
PSB","CN(H2)
4-IT
KAG","WT (G1)
6-CSE
PMH","AJ (G3)
6-CSE
SRR",
MONDAY,"12:45
To
1:30",,"PROJECT-II
8-CSE",,,"AI
8-IT
C-149",,"PROJECT-II
8-CSE","CO
4-CSE
C-142",,,,,,,,"WT
6-IT
C-147",,,,,,,,,,,,
TUESDAY,"8:20
To 
9:10","WT
6-CSE
C-141","OOPC
4-CSE
C-142","PROJECT-II
8-CSE","PROJECT-II
8-CSE","AI
8-IT
C-149","PPS (B2)
2-CSE
IT LAB-1",,,,,".NET(H2)
6-IT
CSE LAB-2",,,"NSM(H2)
4-IT
CSE LAB-1","DCDR(H1)
6-IT
CSE LAB-3","WT(H3)
6-IT
IT LAB-2","OOPC(H1)
4-IT
IT LAB-3",,"PPS (B2)
2-CSE
PSB",,,"NSM(H2)
4-IT
KBP",".NET(H2)
6-IT
VMP","DCDR(H1)
6-IT
KAG",,"WT(H3)
6-IT
KAJ","OOPC(H1)
4-IT
VDP",
TUESDAY,"9:10
To
10:00","PROJECT-II
8-CSE","PROJECT-II
8-CSE","AJ
6-CSE
C-141",,,,,"CO
4-CSE
C-142",,,,"PP 
8-IT
C-149","WDM
8-IT
C-140",,,,,,,,,,,,,,,
TUESDAY,"10:10
To
11:00","PROJECT-II
8-CSE","PROJECT-II
8-CSE",,".NET
6-CSE
C-140","NSM (G3)
4-CSE
IT LAB-2","CG
6-CSE
C-141","OS (G1)
4-CSE
CSE LAB-1","CN (G2)
4-CSE
IT LAB-1","AI (H2)
8-IT
CENTRAL-1A",,".NET
6-IT
C-147","PP (H3)
8-IT
CSE LAB-3","WDM (H1)
8-IT
CSE LAB-2",,,,"OOPC
4-IT
C-143",,"AI (H2)
8-IT
BSP",,,"OS (G1)
4-CSE
FGM","WDM (H1)
8-IT
MJS","PP (H3)
8-IT
HCS","CN (G2)
4-CSE
RVP","NSM (G3)
4-CSE
VJP",,
